bodega,do,tipo,nombre
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Crianza 
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Reserva 2016
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Gran Reserva 2014 
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Prestigio 2015 
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Pago de las Solanas 2010 
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Matarromera Esencia
Bodegas Familiares Matarromera,D.O. Rueda,blanco,Matarromera Verdejo Fermentado en Barrica 2017
Bodegas Familiares Matarromera,D.O. Castilla y León,tinto,Melior 3
Bodegas Familiares Matarromera,D.O. Ribera del Duero,tinto,Melior Tempranillo
Bodegas Familiares Matarromera,D.O. Rueda,blanco,Melior Verdejo
Bodegas Familiares Matarromera,D.O. Rueda,blanco,Melior Sauvignon
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis Joven
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis 6 meses barrica
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis Crianza
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis Reserva
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis Gran Reserva
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis Expresión
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Alidis VS
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Esentium 6 meses barrica
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Esentium 14 meses barrica
Bodega Viña Mambrilla – Alidis,D.O. Ribera del Duero,tinto,Esentium 18 meses barrica
Bodega Viña Mambrilla – Alidis,D.O. Rías Baixas,albariño,Esentium Albariño
Bodegas y Viñedos Pradorey,D.O. Ribera del Duero,tinto,El Buen Alfarero 2017
Bodegas y Viñedos Pradorey,D.O. Ribera del Duero,tinto,"Pradorey Finca Valdelayegua, Crianza 2017"
Bodegas y Viñedos Pradorey,D.O. Ribera del Duero,tinto,"Pradorey Finca La Mina, Reserva 2016"
Bodegas y Viñedos Pradorey,D.O. Ribera del Duero,tinto,"Pradorey Finca Real Sitio de Ventosilla, Gran Reserva"
Bodegas y Viñedos Pradorey,,tinto,Sr Niño
Bodegas y Viñedos Pradorey,,rosado,Lía
Bodegas y Viñedos Pradorey,,blanco,El Cuentista
Grupo El Lagar de Isilla,,blanco,Albillo Mayor
Grupo El Lagar de Isilla,D.O. Rueda,blanco,Verdejo
Grupo El Lagar de Isilla,,rosado,Rosado
Grupo El Lagar de Isilla,,tinto,Joven
Grupo El Lagar de Isilla,,tinto,Roble
Grupo El Lagar de Isilla,,tinto,Gestación
Grupo El Lagar de Isilla,,tinto,Crianza
Grupo El Lagar de Isilla,,tinto,Reserva
Grupo El Lagar de Isilla,,tinto,Vendimia Seleccionada
Grupo El Lagar de Isilla,,tinto,Paraje Valdelacueva
Grupo El Lagar de Isilla,,tinto,Paraje Peñalobos
Bodegas Balbás,D.O. Rueda,blanco,Balbás Verdejo
Bodegas Balbás,,rosado,Balbás Rosado
Bodegas Balbás,,tinto,Balbás Barrica
Bodegas Balbás,,tinto,Balbás Crianza
Bodegas Balbás,,tinto,Balbás Reserva
Bodegas Balbás,,tinto,Balbás Gran Reserva
Bodegas Balbás,D.O. Ribera del Duero,rosado,Le Bijou Rose
Bodegas Balbás,,tinto,Ritus
Bodegas Balbás,,tinto,Ancestral
Bodegas Balbás,,tinto,Alitus
Bodegas Balbás,,tinto,Botero
Bodegas Balbás,,tinto,Ardal Tradición
Bodegas Balbás,,tinto,Ardal Vendimia Seleccionada
Bodegas Balbás,,tinto,Ardal Reserva
Bodegas Balbás,,tinto,Ardal Gran Reserva
Finca Villacreces,D.O. Ribera del Duero,tinto,Pruno
Finca Villacreces,D.O. Ribera del Duero,tinto,Finca Villacreces
Finca Villacreces,D.O. Ribera del Duero,tinto,Specimen
Finca Villacreces,D.O. Ribera del Duero,tinto,Nebro
Bodegas Protos,D.O. Cigales,rosado,Protos Clarete
Bodegas Protos,D.O. Cigales,rosado,Aire de Protos
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Roble
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Tempranillo Ecológico
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Crianza
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Reserva
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Gran Reserva
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos Finca el Grajo Viejo
Bodegas Protos,D.O. Ribera del Duero,tinto,Protos’27
Bodegas Protos,D.O. Rueda,blanco,Protos Verdejo Reserva
Bodegas Protos,D.O. Rueda,blanco,Protos Verdejo Reserva
Bodegas Protos,D.O. Rueda,blanco,Protos Verdejo Ecológico
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón 7 Meses en Barrica 2016
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón 14 Meses en Barrica 2014
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón 30 Meses en Barrica 2013
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Reserva 36 Meses en Barrica 2004
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón VS 36 Meses en Barrica 2004
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Gran Reserva 60 Meses en Barrica 2007
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Siglo XI 14 Meses en Barrica 2012
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Siglo XI 26 Meses en Barrica 2010
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Siglo XI 28 Meses en Barrica 2011
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Siglo XI VS 60 Meses en Barrica 2009
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Tinto de Autor 36 Meses en Barrica 2004
Bodegas Peñafalcón,D.O. Ribera del Duero,tinto,Peñafalcón Siglo XI Gran Reserva 60 Meses 2006
